iter	Logloss
0	0.6671899866
1	0.6455047984
2	0.6193811864
3	0.5951977012
4	0.5772690008
5	0.5594449455
6	0.5438322844
7	0.5314322107
8	0.5174420204
9	0.5052623042
10	0.490435565
11	0.4770845013
12	0.4669407032
13	0.4537989299
14	0.4410527547
15	0.4302230647
16	0.41821355
17	0.4116353164
18	0.4050486529
19	0.3987892057
20	0.3902148729
21	0.382862562
22	0.377450684
23	0.3707034264
24	0.3640508299
25	0.3588688933
26	0.3548028734
27	0.3498968431
28	0.3439038359
29	0.338619138
30	0.3336163274
31	0.3289018325
32	0.3254151992
33	0.3202826418
34	0.316082142
35	0.3123691936
36	0.3095341435
37	0.3070574866
38	0.3039968043
39	0.3021460168
40	0.2996091489
41	0.2946369501
42	0.2921656149
43	0.2894588518
44	0.2861716188
45	0.2840879228
46	0.2818601396
47	0.2787251414
48	0.2762449288
49	0.273864181
50	0.27079229
51	0.2679708975
52	0.2655916803
53	0.2637314973
54	0.261585942
55	0.2595571353
56	0.2574379297
57	0.2556493783
58	0.2540435791
59	0.251908526
60	0.249326494
61	0.2480861052
62	0.2457283632
63	0.2435238685
64	0.2420209249
65	0.240690302
66	0.239554417
67	0.2381045259
68	0.2374903596
69	0.2351076574
70	0.2326568321
71	0.2316448777
72	0.229188142
73	0.2278324174
74	0.2265641954
75	0.2258103453
76	0.2241283699
77	0.2231907315
78	0.2215841317
79	0.2205704583
80	0.2193895505
81	0.218641446
82	0.2178347552
83	0.2170077194
84	0.2163440563
85	0.2147512554
86	0.2141942625
87	0.2129284188
88	0.2112439944
89	0.2104250825
90	0.2096817111
91	0.2080933371
92	0.2070366188
93	0.2056483987
94	0.205340044
95	0.2051207931
96	0.2041603606
97	0.2034514392
98	0.2030306922
99	0.2010830538
100	0.2002102416
101	0.1998476099
102	0.1985419238
103	0.1971877887
104	0.1970224734
105	0.1955245218
106	0.1952743295
107	0.1937198992
108	0.192224114
109	0.1903780478
110	0.1903231821
111	0.1902550591
112	0.1895198233
113	0.188960982
114	0.1886626585
115	0.1882003384
116	0.1857130969
117	0.1846950672
118	0.184012519
119	0.1837399094
120	0.1829665855
121	0.1827177707
122	0.1826785759
123	0.182625853
124	0.1823707157
125	0.1819077715
126	0.1816493258
127	0.181310324
128	0.180872199
129	0.1804747169
130	0.1803714375
131	0.1800469057
132	0.1800112548
133	0.1791152483
134	0.1784743203
135	0.1768977554
136	0.1763261395
137	0.1753145383
138	0.1748725161
139	0.1743296635
140	0.1743208332
141	0.1742729846
142	0.1734022329
143	0.1730326193
144	0.1722202301
145	0.1720842668
146	0.1720354999
147	0.1714733736
148	0.1714330014
149	0.171082426
150	0.1706113227
151	0.1705770846
152	0.169868846
153	0.169452314
154	0.1691056004
155	0.1686226645
156	0.167783902
157	0.1662575875
158	0.1658454942
159	0.1657617593
160	0.1652719827
161	0.1646990246
162	0.1632424931
163	0.1621839382
164	0.1616936201
165	0.1616575688
166	0.1610659611
167	0.1606636401
168	0.1593852455
169	0.1590433003
170	0.158206092
171	0.1577492467
172	0.1573291355
173	0.1572101028
174	0.1564800357
175	0.1564383683
176	0.1560824006
177	0.1554595571
178	0.1552323589
179	0.1538289623
180	0.1537834097
181	0.1537653134
182	0.1535149092
183	0.1534892895
184	0.1533775094
185	0.1524808436
186	0.1516949924
187	0.1513304534
188	0.1512220877
189	0.1511976925
190	0.1510151522
191	0.1509787242
192	0.1505208192
193	0.1495891618
194	0.149376622
195	0.1489372724
196	0.1484409144
197	0.14757519
198	0.1472727811
199	0.1472593355
200	0.146785218
201	0.1467366984
202	0.1467184608
203	0.1463101469
204	0.14573109
205	0.1455405906
206	0.1453366692
207	0.1451425906
208	0.1448813073
209	0.1447144732
210	0.1445076201
211	0.1437384994
212	0.1435012346
213	0.1430302961
214	0.1422469528
215	0.1412710143
216	0.1411615537
217	0.14108254
218	0.1405781522
219	0.1399768311
220	0.1394324597
221	0.1388615385
222	0.1385974178
223	0.1381742218
224	0.1375176465
225	0.137500292
226	0.1368301062
227	0.1366335669
228	0.1366224171
229	0.1363929584
230	0.1362473759
231	0.1350429794
232	0.1349175065
233	0.1344527963
234	0.1340677473
235	0.1333630762
236	0.1320855882
237	0.1317351306
238	0.1314592244
239	0.1308156473
240	0.1302923273
241	0.1302713229
242	0.1301174282
243	0.1293417848
244	0.1285021629
245	0.1283443592
246	0.1277096242
247	0.1271429886
248	0.1269405506
249	0.1268617724
250	0.1268451361
251	0.1268290649
252	0.1268271458
253	0.126496315
254	0.1262027364
255	0.1260787116
256	0.125688388
257	0.125071349
258	0.1249634072
259	0.1244080508
260	0.1239496278
261	0.1234314412
262	0.1231916451
263	0.1226122585
264	0.1225240495
265	0.1223830588
266	0.1222010718
267	0.1218366034
268	0.1218302103
269	0.1213636516
270	0.1212870515
271	0.1210593589
272	0.1208189034
273	0.1207085362
274	0.1206349502
275	0.1202810311
276	0.1200993267
277	0.1200888363
278	0.119977904
279	0.1196008376
280	0.1195084607
281	0.1191422851
282	0.1185721174
283	0.1185702807
284	0.1182355763
285	0.1177125978
286	0.1173038954
287	0.1172920039
288	0.1170442722
289	0.1169785865
290	0.1167819529
291	0.1160953074
292	0.1160297158
293	0.1160189428
294	0.1159968671
295	0.115260654
296	0.1145775524
297	0.1143531564
298	0.114293746
299	0.114282349
300	0.11402043
301	0.1133068697
302	0.1132447867
303	0.1131115666
304	0.113110507
305	0.1131000872
306	0.1130913628
307	0.113089432
308	0.1130585494
309	0.1129121663
310	0.112836826
311	0.1123525478
312	0.1123430935
313	0.111654576
314	0.110898842
315	0.110781234
316	0.1104294106
317	0.1099952768
318	0.1098356836
319	0.1091350626
320	0.1084756969
321	0.1080323208
322	0.1080247502
323	0.1073300397
324	0.1073249888
325	0.1069781456
326	0.1066437592
327	0.1063230067
328	0.10626913
329	0.1057025768
330	0.10569908
331	0.1056349484
332	0.1056263535
333	0.1055076505
334	0.1054668309
335	0.1054590484
336	0.1053078498
337	0.1048560908
338	0.1046705599
339	0.1043336656
340	0.1041203016
341	0.1039779569
342	0.1039715991
343	0.1038712984
344	0.1035149657
345	0.1033225589
346	0.1032508803
347	0.1032447109
348	0.1032411905
349	0.1032255432
350	0.1032194444
351	0.1032129217
352	0.1031749396
353	0.1031407015
354	0.1030780298
355	0.1030764874
356	0.1030723195
357	0.1030676571
358	0.102945834
359	0.1026892721
360	0.1025045065
361	0.1024892242
362	0.1023945867
363	0.1021951982
364	0.1021026093
365	0.1018952499
366	0.1018778248
367	0.1018741631
368	0.101864803
369	0.1016549946
370	0.1016497435
371	0.1013811135
372	0.1013712235
373	0.1011576947
374	0.100791472
375	0.1007721512
376	0.1003011303
377	0.1000005581
378	0.09987755764
379	0.09946610015
380	0.09934479513
381	0.0992711856
382	0.09926627595
383	0.09916578693
384	0.09888142715
385	0.09887641153
386	0.09887246732
387	0.09831975419
388	0.09821909445
389	0.09736766933
390	0.09681434396
391	0.09663744326
392	0.09647310516
393	0.0963671178
394	0.09627117934
395	0.09613438594
396	0.09613022981
397	0.0957013766
398	0.09539996253
399	0.09526721342
400	0.09506261496
401	0.0939991327
402	0.09377154598
403	0.09376665987
404	0.09365966585
405	0.09350967407
406	0.09306543845
407	0.09301342199
408	0.09281777747
409	0.09272063809
410	0.09268966722
411	0.09260344211
412	0.09251342585
413	0.0923197711
414	0.09216797793
415	0.09159542013
416	0.09151985616
417	0.0914643841
418	0.09134566931
419	0.09087540191
420	0.09068855239
421	0.09059238434
422	0.09045325974
423	0.09031119759
424	0.09021635409
425	0.09019134663
426	0.09018300492
427	0.09012320012
428	0.09002847436
429	0.08988602367
430	0.08988315088
431	0.08983006301
432	0.08965308578
433	0.08959459375
434	0.08920636589
435	0.08853162365
436	0.08805001812
437	0.08798605719
438	0.08793623653
439	0.08793387001
440	0.08784460727
441	0.08782614013
442	0.08776770109
443	0.08770659529
444	0.08765556783
445	0.08729619156
446	0.08726708683
447	0.08694762359
448	0.08694120101
449	0.0867742197
450	0.08670990555
451	0.0865469803
452	0.08637767368
453	0.08634880443
454	0.0861690015
455	0.08601405297
